"date","price","open","Max","Min","volume","change"
"25.01.2022","4.952,00","4.615,00","5.013,00","4.486,00","1,23M","7,65%"
"24.01.2022","4.600,00","4.826,00","4.960,00","4.390,00","1,05M","-4,72%"
"21.01.2022","4.828,00","4.819,00","4.989,60","4.720,00","724,57K","0,11%"
"20.01.2022","4.822,80","4.650,00","5.016,00","4.511,80","1,18M","3,72%"
"19.01.2022","4.650,00","4.733,00","4.952,00","4.403,60","2,27M","-1,48%"
"18.01.2022","4.720,00","5.307,00","5.307,80","4.636,80","1,50M","-10,86%"
"17.01.2022","5.295,00","5.520,00","5.625,00","5.045,40","1,15M","-3,90%"
"14.01.2022","5.509,80","5.832,60","5.926,20","5.299,60","1,47M","-5,54%"
"13.01.2022","5.832,80","6.192,00","6.240,00","5.666,00","911,43K","-5,81%"
"12.01.2022","6.192,80","5.960,00","6.222,40","5.893,00","471,80K","4,17%"
"11.01.2022","5.945,00","5.839,00","6.027,40","5.794,60","358,10K","1,97%"
"10.01.2022","5.830,00","5.760,00","5.902,00","5.737,00","315,68K","0,49%"
"06.01.2022","5.801,60","5.810,00","5.984,80","5.712,40","535,26K","-0,06%"
"05.01.2022","5.805,00","6.279,60","6.280,00","5.805,00","392,15K","-7,34%"
"04.01.2022","6.264,60","6.400,00","6.480,80","6.202,00","407,07K","-1,57%"
"03.01.2022","6.364,40","6.148,00","6.382,40","6.112,40","249,58K","4,03%"
"30.12.2021","6.118,00","5.940,00","6.162,60","5.902,60","406,76K","2,64%"
"29.12.2021","5.960,80","6.099,80","6.146,00","5.880,00","345,23K","-2,27%"
"28.12.2021","6.099,00","6.013,20","6.209,80","5.953,00","286,37K","1,43%"
"27.12.2021","6.013,20","5.991,60","6.095,80","5.926,40","190,71K","0,36%"
"24.12.2021","5.991,80","5.989,40","6.030,00","5.855,00","164,13K","0,32%"
"23.12.2021","5.972,80","5.965,00","6.035,00","5.870,00","241,22K","0,21%"
"22.12.2021","5.960,00","6.129,80","6.159,80","5.960,00","365,02K","-2,38%"
"21.12.2021","6.105,00","6.014,00","6.274,00","5.985,00","430,63K","1,64%"
"20.12.2021","6.006,20","6.097,80","6.138,80","5.830,00","277,11K","-1,84%"
"17.12.2021","6.119,00","6.149,40","6.186,20","6.020,00","355,21K","0,10%"
"16.12.2021","6.112,60","6.170,00","6.300,00","5.980,00","768,51K","-0,45%"
"15.12.2021","6.140,20","5.982,40","6.186,00","5.866,00","349,96K","2,85%"
"14.12.2021","5.970,00","5.890,00","6.047,80","5.400,60","663,53K","0,85%"
"13.12.2021","5.919,80","6.330,00","6.444,80","5.870,00","730,86K","-6,19%"
"10.12.2021","6.310,20","6.360,00","6.392,00","6.113,20","432,56K","-0,19%"
"09.12.2021","6.322,40","6.212,00","6.523,00","6.020,00","671,40K","1,23%"
"08.12.2021","6.245,40","6.599,80","6.750,00","6.141,00","829,89K","-4,84%"
"07.12.2021","6.563,00","6.659,00","6.913,00","6.315,00","992,20K","-1,74%"
"06.12.2021","6.679,00","7.351,80","7.407,60","6.629,40","612,95K","-8,60%"
"03.12.2021","7.307,60","7.271,00","7.405,00","7.220,00","341,41K","1,19%"
"02.12.2021","7.222,00","7.477,00","7.519,60","7.175,40","366,24K","-1,85%"
"01.12.2021","7.358,00","7.255,40","7.542,20","7.175,00","789,46K","3,43%"
"30.11.2021","7.114,00","6.741,00","7.245,00","6.529,00","976,95K","2,53%"
"29.11.2021","6.938,20","6.950,00","7.098,80","6.814,20","437,63K","1,87%"
"26.11.2021","6.811,00","7.000,00","7.150,00","6.780,20","556,61K","-6,21%"
"25.11.2021","7.262,00","6.935,20","7.324,60","6.903,60","573,42K","5,43%"
"24.11.2021","6.888,00","7.071,00","7.355,80","6.827,00","864,51K","-2,27%"
"23.11.2021","7.048,00","6.600,00","7.050,00","6.308,20","1,19M","6,53%"
"22.11.2021","6.615,80","7.075,00","7.150,00","6.537,60","869,73K","-6,75%"
"19.11.2021","7.094,40","7.420,00","7.480,00","7.032,20","517,13K","-3,90%"
"18.11.2021","7.382,00","7.225,00","7.460,00","7.150,00","370,29K","1,93%"
"17.11.2021","7.242,20","7.450,00","7.450,00","7.217,00","447,99K","-2,07%"
"16.11.2021","7.395,60","7.465,00","7.541,80","7.142,40","533,30K","-0,36%"
"15.11.2021","7.422,60","7.335,00","7.681,80","7.335,00","660,27K","1,21%"
"12.11.2021","7.334,00","7.559,00","7.559,00","7.230,00","421,72K","-2,32%"
"11.11.2021","7.508,00","7.670,00","7.780,00","7.312,00","760,77K","-1,91%"
"10.11.2021","7.654,20","7.983,60","8.180,00","7.605,00","538,75K","-4,13%"
"09.11.2021","7.983,60","8.400,00","8.474,20","7.876,60","398,13K","-4,33%"
"08.11.2021","8.345,00","8.005,00","8.518,40","8.005,00","508,18K","3,99%"
"05.11.2021","8.025,00","7.900,00","8.040,20","7.760,00","281,55K","2,19%"
"03.11.2021","7.852,80","7.899,00","7.944,00","7.702,00","211,38K","-0,18%"
"02.11.2021","7.867,00","7.824,80","7.970,00","7.700,00","318,54K","0,98%"
"01.11.2021","7.790,80","7.324,80","7.816,00","7.304,20","413,40K","6,58%"
"29.10.2021","7.310,00","7.469,00","7.469,00","7.185,40","216,21K","-1,17%"
"28.10.2021","7.396,80","7.268,00","7.420,00","7.208,00","301,51K","1,77%"
"27.10.2021","7.268,00","7.347,80","7.449,20","7.067,00","400,78K","-0,58%"
"26.10.2021","7.310,20","7.648,80","7.648,80","7.300,00","272,76K","-3,81%"
"25.10.2021","7.600,00","7.660,00","7.754,00","7.500,00","201,95K","-0,78%"
"22.10.2021","7.660,00","7.860,60","7.909,80","7.642,40","180,09K","-2,46%"
"21.10.2021","7.853,00","7.858,20","7.924,20","7.815,20","194,66K","0,37%"
"20.10.2021","7.824,40","7.847,80","7.944,00","7.770,00","322,99K","0,25%"
"19.10.2021","7.805,00","7.728,00","7.836,60","7.485,20","281,27K","1,05%"
"18.10.2021","7.724,00","7.849,80","7.945,20","7.700,20","293,83K","-1,23%"
"15.10.2021","7.820,20","7.820,00","7.893,80","7.678,60","248,44K","0,68%"
"14.10.2021","7.767,60","7.644,00","7.924,60","7.542,20","550,16K","2,07%"
"13.10.2021","7.610,40","7.360,00","7.677,60","7.290,00","720,13K","3,81%"
"12.10.2021","7.331,40","7.197,80","7.361,00","7.132,80","332,12K","1,74%"
"11.10.2021","7.206,00","7.170,00","7.225,00","7.051,00","226,79K","0,71%"
"08.10.2021","7.155,00","7.158,00","7.244,40","7.063,20","272,13K","0,21%"
"07.10.2021","7.140,00","7.000,00","7.236,00","6.996,00","410,18K","2,20%"
"06.10.2021","6.986,20","6.890,00","7.011,20","6.783,80","509,51K","2,21%"
"05.10.2021","6.835,00","6.690,00","6.884,80","6.660,00","295,81K","2,52%"
"04.10.2021","6.667,20","6.788,00","6.943,00","6.650,00","425,39K","-1,64%"
"01.10.2021","6.778,60","6.654,00","6.822,00","6.572,20","390,89K","2,27%"
"30.09.2021","6.628,40","6.404,00","6.689,00","6.332,00","435,23K","3,54%"
"29.09.2021","6.402,00","6.173,00","6.423,80","6.173,00","256,95K","3,30%"
"28.09.2021","6.197,20","6.468,00","6.471,00","6.170,00","363,34K","-3,91%"
"27.09.2021","6.449,40","6.599,00","6.614,20","6.402,80","242,40K","-1,76%"
"24.09.2021","6.565,00","6.715,20","6.721,40","6.505,80","176,68K","-1,91%"
"23.09.2021","6.693,00","6.733,40","6.737,80","6.643,40","91,51K","0,18%"
"22.09.2021","6.681,00","6.680,00","6.778,40","6.631,00","206,87K","-0,09%"
"21.09.2021","6.687,00","6.747,60","6.750,00","6.590,20","225,81K","-0,57%"
"20.09.2021","6.725,00","6.750,00","6.827,20","6.560,20","281,91K","-0,22%"
"17.09.2021","6.740,00","6.550,20","6.800,00","6.550,00","381,21K","2,85%"
"16.09.2021","6.553,00","6.497,00","6.634,00","6.369,00","484,40K","1,02%"
"15.09.2021","6.486,80","6.666,80","6.679,80","6.412,00","379,94K","-2,27%"
"14.09.2021","6.637,20","6.800,00","6.830,00","6.530,00","271,04K","-2,31%"
"13.09.2021","6.794,00","6.850,00","6.856,00","6.642,40","268,20K","-0,14%"
"10.09.2021","6.803,20","6.792,60","6.880,60","6.739,40","199,30K","0,76%"
"09.09.2021","6.752,20","6.696,00","6.854,00","6.578,40","320,67K","0,74%"
"08.09.2021","6.702,80","6.940,00","6.940,00","6.660,40","336,07K","-2,82%"
"07.09.2021","6.897,00","6.999,60","7.037,00","6.863,20","235,81K","-0,92%"
"06.09.2021","6.961,20","7.039,60","7.083,40","6.863,60","276,96K","-0,55%"
"03.09.2021","6.999,40","6.980,00","7.072,20","6.890,60","500,94K","0,19%"
"02.09.2021","6.986,00","6.890,00","7.021,20","6.716,00","503,35K","1,40%"
