"date","price","open","Max","Min","volume","change"
"30.04.2021","4.361,40","4.327,80","4.440,00","4.260,00","304,56K","0,98%"
"29.04.2021","4.319,00","4.420,00","4.480,00","4.254,00","310,04K","-2,29%"
"28.04.2021","4.420,00","4.475,40","4.504,20","4.345,00","286,95K","-1,27%"
"27.04.2021","4.477,00","4.506,20","4.584,60","4.461,00","264,18K","-1,03%"
"26.04.2021","4.523,80","4.485,60","4.555,40","4.380,00","204,01K","1,36%"
"23.04.2021","4.463,20","4.378,00","4.521,80","4.363,00","260,61K","1,92%"
"22.04.2021","4.379,00","4.354,00","4.474,00","4.277,00","347,01K","0,56%"
"21.04.2021","4.354,80","4.424,60","4.425,00","4.248,20","516,39K","-1,60%"
"20.04.2021","4.425,40","4.560,00","4.648,20","4.350,00","467,52K","-2,96%"
"19.04.2021","4.560,60","4.611,20","4.648,00","4.509,60","179,51K","-0,61%"
"16.04.2021","4.588,80","4.379,00","4.643,00","4.312,40","339,83K","5,37%"
"15.04.2021","4.354,80","4.388,00","4.422,60","4.301,20","220,62K","-0,47%"
"14.04.2021","4.375,20","4.448,00","4.448,00","4.320,00","314,68K","-1,68%"
"13.04.2021","4.450,00","4.560,00","4.600,00","4.363,60","423,96K","-2,41%"
"12.04.2021","4.560,00","4.550,20","4.595,00","4.470,00","218,54K","0,03%"
"09.04.2021","4.558,80","4.523,60","4.675,40","4.518,00","236,50K","0,30%"
"08.04.2021","4.545,00","4.591,00","4.617,40","4.516,20","295,41K","-1,00%"
"07.04.2021","4.590,80","4.719,20","4.721,00","4.514,00","401,03K","-2,33%"
"06.04.2021","4.700,40","4.730,00","4.764,40","4.629,20","326,97K","-0,70%"
"05.04.2021","4.733,60","4.737,60","4.798,00","4.654,20","175,28K","0,80%"
"02.04.2021","4.696,20","4.596,00","4.788,00","4.521,20","195,69K","2,79%"
"01.04.2021","4.568,80","4.448,00","4.615,00","4.425,20","372,18K","2,99%"
"31.03.2021","4.436,00","4.515,00","4.538,00","4.382,00","258,13K","-0,88%"
"30.03.2021","4.475,20","4.328,20","4.589,00","4.322,60","350,35K","3,37%"
"29.03.2021","4.329,20","4.324,00","4.366,40","4.258,00","93,31K","-0,20%"
"26.03.2021","4.337,80","4.333,80","4.456,80","4.260,20","228,29K","-0,05%"
"25.03.2021","4.339,80","4.265,00","4.360,60","4.262,60","109,60K","1,17%"
"24.03.2021","4.289,60","4.260,00","4.360,00","4.240,00","197,68K","0,47%"
"23.03.2021","4.269,40","4.448,00","4.448,00","4.241,40","200,46K","-3,52%"
"22.03.2021","4.425,00","4.328,80","4.460,00","4.250,00","178,04K","2,62%"
